,date,vessel_type,source,destination,price
578868,2026-01-01,Panamax,Russia,Haldia,33.47
810516,2026-01-01,Supramax,Russia,Visakhapatnam,37.03
554484,2026-01-01,Panamax,Mozambique,Visakhapatnam,41.06
310644,2026-01-01,Handysize,Mozambique,Gangavaram,21.95
54612,2026-01-01,Capesize,Indonesia,Gangavaram,14.53
267972,2026-01-01,Handysize,Indonesia,Gangavaram,28.43
207012,2026-01-01,Capesize,USA,Sagar/Sandheads,26.25
834900,2026-01-01,Supramax,USA,Haldia,34.57
389892,2026-01-01,Handysize,USA,Dhamra,27.77
706884,2026-01-01,Supramax,Indonesia,Haldia,28.22
481332,2026-01-01,Panamax,Indonesia,Gangavaram,29.35
335028,2026-01-01,Handysize,Mozambique,Sagar/Sandheads,29.66
5844,2026-01-01,Capesize,Australia,Dhamra,21.46
341124,2026-01-01,Handysize,Mozambique,Visakhapatnam,14.92
694692,2026-01-01,Supramax,Indonesia,Gangavaram,25.56
152148,2026-01-01,Capesize,Russia,Haldia,24.36
158244,2026-01-01,Capesize,Russia,Paradip,21.14
255780,2026-01-01,Handysize,Australia,Visakhapatnam,32.34
408180,2026-01-01,Handysize,USA,Haldia,30.93
469140,2026-01-01,Panamax,Australia,Visakhapatnam,42.84
719076,2026-01-01,Supramax,Indonesia,Sagar/Sandheads,22.18
572772,2026-01-01,Panamax,Russia,Gopalpur,37.15
633732,2026-01-01,Panamax,USA,Sagar/Sandheads,58.0
292356,2026-01-01,Handysize,Indonesia,Sagar/Sandheads,29.0
11940,2026-01-01,Capesize,Australia,Gangavaram,16.74
597156,2026-01-01,Panamax,Russia,Visakhapatnam,34.61
761748,2026-01-01,Supramax,Mozambique,Sagar/Sandheads,30.26
243588,2026-01-01,Handysize,Australia,Paradip,20.52
548388,2026-01-01,Panamax,Mozambique,Sagar/Sandheads,40.19
42420,2026-01-01,Capesize,Australia,Visakhapatnam,17.83
517908,2026-01-01,Panamax,Mozambique,Dhamra,27.84
682500,2026-01-01,Supramax,Australia,Visakhapatnam,31.07
194820,2026-01-01,Capesize,USA,Haldia,27.3
304548,2026-01-01,Handysize,Mozambique,Dhamra,27.23
688596,2026-01-01,Supramax,Indonesia,Dhamra,16.61
463044,2026-01-01,Panamax,Australia,Sagar/Sandheads,31.86
133860,2026-01-01,Capesize,Russia,Dhamra,26.71
127765,2026-01-02,Capesize,Mozambique,Visakhapatnam,24.7
389893,2026-01-02,Handysize,USA,Dhamra,28.9
383797,2026-01-02,Handysize,Russia,Visakhapatnam,25.92
542293,2026-01-02,Panamax,Mozambique,Paradip,29.34
621541,2026-01-02,Panamax,USA,Haldia,38.93
371605,2026-01-02,Handysize,Russia,Paradip,32.66
286261,2026-01-02,Handysize,Indonesia,Paradip,22.28
292357,2026-01-02,Handysize,Indonesia,Sagar/Sandheads,27.37
182629,2026-01-02,Capesize,USA,Gangavaram,19.56
42421,2026-01-02,Capesize,Australia,Visakhapatnam,18.51
36325,2026-01-02,Capesize,Australia,Sagar/Sandheads,17.57
847093,2026-01-02,Supramax,USA,Sagar/Sandheads,32.84
798325,2026-01-02,Supramax,Russia,Paradip,25.32
676405,2026-01-02,Supramax,Australia,Sagar/Sandheads,30.13
450853,2026-01-02,Panamax,Australia,Haldia,40.42
572773,2026-01-02,Panamax,Russia,Gopalpur,37.52
414277,2026-01-02,Handysize,USA,Paradip,32.0
328933,2026-01-02,Handysize,Mozambique,Paradip,27.72
670309,2026-01-02,Supramax,Australia,Paradip,33.44
322837,2026-01-02,Handysize,Mozambique,Haldia,21.79
72901,2026-01-02,Capesize,Indonesia,Paradip,15.64
688597,2026-01-02,Supramax,Indonesia,Dhamra,16.23
609349,2026-01-02,Panamax,USA,Gangavaram,35.3
243589,2026-01-02,Handysize,Australia,Paradip,20.35
633733,2026-01-02,Panamax,USA,Sagar/Sandheads,58.4
30229,2026-01-02,Capesize,Australia,Paradip,21.5
706885,2026-01-02,Supramax,Indonesia,Haldia,27.8
725173,2026-01-02,Supramax,Indonesia,Visakhapatnam,40.13
481333,2026-01-02,Panamax,Indonesia,Gangavaram,29.65
133861,2026-01-02,Capesize,Russia,Dhamra,26.67
176533,2026-01-02,Capesize,USA,Dhamra,22.76
584965,2026-01-02,Panamax,Russia,Paradip,35.67
231397,2026-01-02,Handysize,Australia,Gopalpur,31.19
548389,2026-01-02,Panamax,Mozambique,Sagar/Sandheads,41.41
267973,2026-01-02,Handysize,Indonesia,Gangavaram,28.46
658117,2026-01-02,Supramax,Australia,Gopalpur,24.82
731269,2026-01-02,Supramax,Mozambique,Dhamra,32.94
511813,2026-01-02,Panamax,Indonesia,Visakhapatnam,35.14
755653,2026-01-02,Supramax,Mozambique,Paradip,21.79
225301,2026-01-02,Handysize,Australia,Gangavaram,19.74
554485,2026-01-02,Panamax,Mozambique,Visakhapatnam,44.54
645925,2026-01-02,Supramax,Australia,Dhamra,33.07
298453,2026-01-02,Handysize,Indonesia,Visakhapatnam,28.04
194821,2026-01-02,Capesize,USA,Haldia,28.63
200917,2026-01-02,Capesize,USA,Paradip,18.32
139957,2026-01-02,Capesize,Russia,Gangavaram,20.22
249685,2026-01-02,Handysize,Australia,Sagar/Sandheads,32.48
164341,2026-01-02,Capesize,Russia,Sagar/Sandheads,23.29
395989,2026-01-02,Handysize,USA,Gangavaram,29.32
499621,2026-01-02,Panamax,Indonesia,Paradip,42.15
652021,2026-01-02,Supramax,Australia,Gangavaram,26.47
700789,2026-01-02,Supramax,Indonesia,Gopalpur,21.95
78997,2026-01-02,Capesize,Indonesia,Sagar/Sandheads,20.73
627637,2026-01-02,Panamax,USA,Paradip,31.6
597157,2026-01-02,Panamax,Russia,Visakhapatnam,34.71
432565,2026-01-02,Panamax,Australia,Dhamra,32.33
11941,2026-01-02,Capesize,Australia,Gangavaram,16.2
444757,2026-01-02,Panamax,Australia,Gopalpur,30.99
5845,2026-01-02,Capesize,Australia,Dhamra,20.98
834901,2026-01-02,Supramax,USA,Haldia,34.24
54613,2026-01-02,Capesize,Indonesia,Gangavaram,14.91
694693,2026-01-02,Supramax,Indonesia,Gangavaram,24.79
682501,2026-01-02,Supramax,Australia,Visakhapatnam,29.78
341125,2026-01-02,Handysize,Mozambique,Visakhapatnam,15.24
335029,2026-01-02,Handysize,Mozambique,Sagar/Sandheads,30.1
493525,2026-01-02,Panamax,Indonesia,Haldia,32.61
347221,2026-01-02,Handysize,Russia,Dhamra,24.07
255781,2026-01-02,Handysize,Australia,Visakhapatnam,32.5
24133,2026-01-02,Capesize,Australia,Haldia,21.76
115573,2026-01-02,Capesize,Mozambique,Paradip,16.12
237493,2026-01-02,Handysize,Australia,Haldia,25.76
158245,2026-01-02,Capesize,Russia,Paradip,21.61
91189,2026-01-02,Capesize,Mozambique,Dhamra,15.01
761749,2026-01-02,Supramax,Mozambique,Sagar/Sandheads,31.44
737365,2026-01-02,Supramax,Mozambique,Gangavaram,21.69
402085,2026-01-02,Handysize,USA,Gopalpur,26.12
792229,2026-01-02,Supramax,Russia,Haldia,38.62
359413,2026-01-02,Handysize,Russia,Gopalpur,24.99
463045,2026-01-02,Panamax,Australia,Sagar/Sandheads,31.97
469141,2026-01-02,Panamax,Australia,Visakhapatnam,42.28
810517,2026-01-02,Supramax,Russia,Visakhapatnam,36.46
207013,2026-01-02,Capesize,USA,Sagar/Sandheads,25.92
188725,2026-01-02,Capesize,USA,Gopalpur,20.58
152149,2026-01-02,Capesize,Russia,Haldia,24.26
743461,2026-01-02,Supramax,Mozambique,Gopalpur,25.09
639829,2026-01-02,Panamax,USA,Visakhapatnam,27.74
304549,2026-01-02,Handysize,Mozambique,Dhamra,27.28
426469,2026-01-02,Handysize,USA,Visakhapatnam,27.96
773941,2026-01-02,Supramax,Russia,Dhamra,20.94
408181,2026-01-02,Handysize,USA,Haldia,30.41
560581,2026-01-02,Panamax,Russia,Dhamra,42.78
780037,2026-01-02,Supramax,Russia,Gangavaram,40.49
578869,2026-01-02,Panamax,Russia,Haldia,35.26
274069,2026-01-02,Handysize,Indonesia,Gopalpur,24.91
816613,2026-01-02,Supramax,USA,Dhamra,39.49
749557,2026-01-02,Supramax,Mozambique,Haldia,40.99
170437,2026-01-02,Capesize,Russia,Visakhapatnam,21.0
712981,2026-01-02,Supramax,Indonesia,Paradip,24.36
517909,2026-01-02,Panamax,Mozambique,Dhamra,27.57
456949,2026-01-02,Panamax,Australia,Paradip,24.63
365509,2026-01-02,Handysize,Russia,Haldia,35.13
310645,2026-01-02,Handysize,Mozambique,Gangavaram,22.87
615445,2026-01-02,Panamax,USA,Gopalpur,36.24
591061,2026-01-02,Panamax,Russia,Sagar/Sandheads,41.35
853189,2026-01-02,Supramax,USA,Visakhapatnam,37.61
146053,2026-01-02,Capesize,Russia,Gopalpur,19.38
767845,2026-01-02,Supramax,Mozambique,Visakhapatnam,35.05
377701,2026-01-02,Handysize,Russia,Sagar/Sandheads,37.91
487429,2026-01-02,Panamax,Indonesia,Gopalpur,22.57
103381,2026-01-02,Capesize,Mozambique,Gopalpur,23.52
353317,2026-01-02,Handysize,Russia,Gangavaram,29.73
603253,2026-01-02,Panamax,USA,Dhamra,38.55
524005,2026-01-02,Panamax,Mozambique,Gangavaram,30.49
505717,2026-01-02,Panamax,Indonesia,Sagar/Sandheads,35.48
85093,2026-01-02,Capesize,Indonesia,Visakhapatnam,20.53
66805,2026-01-02,Capesize,Indonesia,Haldia,25.33
664213,2026-01-02,Supramax,Australia,Haldia,34.57
530101,2026-01-02,Panamax,Mozambique,Gopalpur,29.84
786133,2026-01-02,Supramax,Russia,Gopalpur,32.77
804421,2026-01-02,Supramax,Russia,Sagar/Sandheads,33.72
60709,2026-01-02,Capesize,Indonesia,Gopalpur,16.14
840997,2026-01-02,Supramax,USA,Paradip,37.95
566677,2026-01-02,Panamax,Russia,Gangavaram,33.34
316741,2026-01-02,Handysize,Mozambique,Gopalpur,23.03
438661,2026-01-02,Panamax,Australia,Gangavaram,38.07
420373,2026-01-02,Handysize,USA,Sagar/Sandheads,41.71
261877,2026-01-02,Handysize,Indonesia,Dhamra,16.94
213109,2026-01-02,Capesize,USA,Visakhapatnam,24.98
121669,2026-01-02,Capesize,Mozambique,Sagar/Sandheads,25.54
109477,2026-01-02,Capesize,Mozambique,Haldia,16.81
719077,2026-01-02,Supramax,Indonesia,Sagar/Sandheads,20.87
48517,2026-01-02,Capesize,Indonesia,Dhamra,13.6
822709,2026-01-02,Supramax,USA,Gangavaram,34.43
280165,2026-01-02,Handysize,Indonesia,Haldia,27.05
219205,2026-01-02,Handysize,Australia,Dhamra,25.61
475237,2026-01-02,Panamax,Indonesia,Dhamra,21.7
536197,2026-01-02,Panamax,Mozambique,Haldia,33.67
828805,2026-01-02,Supramax,USA,Gopalpur,27.15
97285,2026-01-02,Capesize,Mozambique,Gangavaram,17.74
18037,2026-01-02,Capesize,Australia,Gopalpur,15.07
328934,2026-01-03,Handysize,Mozambique,Paradip,28.42
127766,2026-01-03,Capesize,Mozambique,Visakhapatnam,24.79
310646,2026-01-03,Handysize,Mozambique,Gangavaram,22.77
456950,2026-01-03,Panamax,Australia,Paradip,24.81
712982,2026-01-03,Supramax,Indonesia,Paradip,24.55
755654,2026-01-03,Supramax,Mozambique,Paradip,22.54
487430,2026-01-03,Panamax,Indonesia,Gopalpur,22.04
48518,2026-01-03,Capesize,Indonesia,Dhamra,13.13
786134,2026-01-03,Supramax,Russia,Gopalpur,32.24
798326,2026-01-03,Supramax,Russia,Paradip,25.34
292358,2026-01-03,Handysize,Indonesia,Sagar/Sandheads,27.69
377702,2026-01-03,Handysize,Russia,Sagar/Sandheads,37.77
152150,2026-01-03,Capesize,Russia,Haldia,24.4
42422,2026-01-03,Capesize,Australia,Visakhapatnam,17.91
603254,2026-01-03,Panamax,USA,Dhamra,38.2
450854,2026-01-03,Panamax,Australia,Haldia,40.73
524006,2026-01-03,Panamax,Mozambique,Gangavaram,31.8
536198,2026-01-03,Panamax,Mozambique,Haldia,35.27
426470,2026-01-03,Handysize,USA,Visakhapatnam,26.1
389894,2026-01-03,Handysize,USA,Dhamra,27.76
170438,2026-01-03,Capesize,Russia,Visakhapatnam,21.17
530102,2026-01-03,Panamax,Mozambique,Gopalpur,30.09
847094,2026-01-03,Supramax,USA,Sagar/Sandheads,31.82
304550,2026-01-03,Handysize,Mozambique,Dhamra,26.1
408182,2026-01-03,Handysize,USA,Haldia,31.32
517910,2026-01-03,Panamax,Mozambique,Dhamra,27.36
615446,2026-01-03,Panamax,USA,Gopalpur,35.24
481334,2026-01-03,Panamax,Indonesia,Gangavaram,29.41
463046,2026-01-03,Panamax,Australia,Sagar/Sandheads,30.61
139958,2026-01-03,Capesize,Russia,Gangavaram,20.49
652022,2026-01-03,Supramax,Australia,Gangavaram,26.24
761750,2026-01-03,Supramax,Mozambique,Sagar/Sandheads,31.38
383798,2026-01-03,Handysize,Russia,Visakhapatnam,25.67
219206,2026-01-03,Handysize,Australia,Dhamra,26.04
158246,2026-01-03,Capesize,Russia,Paradip,21.63
402086,2026-01-03,Handysize,USA,Gopalpur,25.97
572774,2026-01-03,Panamax,Russia,Gopalpur,36.78
231398,2026-01-03,Handysize,Australia,Gopalpur,30.12
792230,2026-01-03,Supramax,Russia,Haldia,37.52
359414,2026-01-03,Handysize,Russia,Gopalpur,24.25
725174,2026-01-03,Supramax,Indonesia,Visakhapatnam,38.06
767846,2026-01-03,Supramax,Mozambique,Visakhapatnam,34.43
633734,2026-01-03,Panamax,USA,Sagar/Sandheads,57.07
554486,2026-01-03,Panamax,Mozambique,Visakhapatnam,42.04
438662,2026-01-03,Panamax,Australia,Gangavaram,38.08
243590,2026-01-03,Handysize,Australia,Paradip,20.62
109478,2026-01-03,Capesize,Mozambique,Haldia,17.55
810518,2026-01-03,Supramax,Russia,Visakhapatnam,36.71
414278,2026-01-03,Handysize,USA,Paradip,31.46
645926,2026-01-03,Supramax,Australia,Dhamra,34.01
822710,2026-01-03,Supramax,USA,Gangavaram,36.02
444758,2026-01-03,Panamax,Australia,Gopalpur,32.18
347222,2026-01-03,Handysize,Russia,Dhamra,24.94
78998,2026-01-03,Capesize,Indonesia,Sagar/Sandheads,20.86
670310,2026-01-03,Supramax,Australia,Paradip,31.59
54614,2026-01-03,Capesize,Indonesia,Gangavaram,15.39
804422,2026-01-03,Supramax,Russia,Sagar/Sandheads,34.27
542294,2026-01-03,Panamax,Mozambique,Paradip,28.0
97286,2026-01-03,Capesize,Mozambique,Gangavaram,18.05
499622,2026-01-03,Panamax,Indonesia,Paradip,42.77
341126,2026-01-03,Handysize,Mozambique,Visakhapatnam,15.08
255782,2026-01-03,Handysize,Australia,Visakhapatnam,33.28
103382,2026-01-03,Capesize,Mozambique,Gopalpur,23.06
267974,2026-01-03,Handysize,Indonesia,Gangavaram,28.37
371606,2026-01-03,Handysize,Russia,Paradip,33.56
566678,2026-01-03,Panamax,Russia,Gangavaram,33.56
24134,2026-01-03,Capesize,Australia,Haldia,22.5
176534,2026-01-03,Capesize,USA,Dhamra,22.01
493526,2026-01-03,Panamax,Indonesia,Haldia,31.38
584966,2026-01-03,Panamax,Russia,Paradip,35.15
18038,2026-01-03,Capesize,Australia,Gopalpur,14.55
511814,2026-01-03,Panamax,Indonesia,Visakhapatnam,34.12
115574,2026-01-03,Capesize,Mozambique,Paradip,16.49
335030,2026-01-03,Handysize,Mozambique,Sagar/Sandheads,29.23
682502,2026-01-03,Supramax,Australia,Visakhapatnam,31.84
694694,2026-01-03,Supramax,Indonesia,Gangavaram,25.26
834902,2026-01-03,Supramax,USA,Haldia,34.85
213110,2026-01-03,Capesize,USA,Visakhapatnam,24.48
664214,2026-01-03,Supramax,Australia,Haldia,34.49
395990,2026-01-03,Handysize,USA,Gangavaram,28.9
133862,2026-01-03,Capesize,Russia,Dhamra,27.49
194822,2026-01-03,Capesize,USA,Haldia,27.2
298454,2026-01-03,Handysize,Indonesia,Visakhapatnam,28.39
432566,2026-01-03,Panamax,Australia,Dhamra,32.77
237494,2026-01-03,Handysize,Australia,Haldia,25.23
475238,2026-01-03,Panamax,Indonesia,Dhamra,22.04
731270,2026-01-03,Supramax,Mozambique,Dhamra,32.65
719078,2026-01-03,Supramax,Indonesia,Sagar/Sandheads,21.15
121670,2026-01-03,Capesize,Mozambique,Sagar/Sandheads,25.74
828806,2026-01-03,Supramax,USA,Gopalpur,27.71
322838,2026-01-03,Handysize,Mozambique,Haldia,22.22
261878,2026-01-03,Handysize,Indonesia,Dhamra,17.28
72902,2026-01-03,Capesize,Indonesia,Paradip,15.9
146054,2026-01-03,Capesize,Russia,Gopalpur,19.73
85094,2026-01-03,Capesize,Indonesia,Visakhapatnam,21.07
60710,2026-01-03,Capesize,Indonesia,Gopalpur,16.34
737366,2026-01-03,Supramax,Mozambique,Gangavaram,23.5
200918,2026-01-03,Capesize,USA,Paradip,18.46
609350,2026-01-03,Panamax,USA,Gangavaram,35.84
840998,2026-01-03,Supramax,USA,Paradip,37.78
91190,2026-01-03,Capesize,Mozambique,Dhamra,14.75
30230,2026-01-03,Capesize,Australia,Paradip,21.11
207014,2026-01-03,Capesize,USA,Sagar/Sandheads,25.43
706886,2026-01-03,Supramax,Indonesia,Haldia,28.94
316742,2026-01-03,Handysize,Mozambique,Gopalpur,22.35
66806,2026-01-03,Capesize,Indonesia,Haldia,24.57
816614,2026-01-03,Supramax,USA,Dhamra,39.78
5846,2026-01-03,Capesize,Australia,Dhamra,21.29
749558,2026-01-03,Supramax,Mozambique,Haldia,40.44
274070,2026-01-03,Handysize,Indonesia,Gopalpur,25.38
578870,2026-01-03,Panamax,Russia,Haldia,34.7
627638,2026-01-03,Panamax,USA,Paradip,31.3
780038,2026-01-03,Supramax,Russia,Gangavaram,38.86
225302,2026-01-03,Handysize,Australia,Gangavaram,21.26
560582,2026-01-03,Panamax,Russia,Dhamra,41.34
773942,2026-01-03,Supramax,Russia,Dhamra,21.98
36326,2026-01-03,Capesize,Australia,Sagar/Sandheads,17.84
420374,2026-01-03,Handysize,USA,Sagar/Sandheads,42.5
639830,2026-01-03,Panamax,USA,Visakhapatnam,26.56
621542,2026-01-03,Panamax,USA,Haldia,39.68
188726,2026-01-03,Capesize,USA,Gopalpur,19.64
743462,2026-01-03,Supramax,Mozambique,Gopalpur,23.37
182630,2026-01-03,Capesize,USA,Gangavaram,19.34
286262,2026-01-03,Handysize,Indonesia,Paradip,22.14
365510,2026-01-03,Handysize,Russia,Haldia,35.21
249686,2026-01-03,Handysize,Australia,Sagar/Sandheads,33.32
688598,2026-01-03,Supramax,Indonesia,Dhamra,15.96
280166,2026-01-03,Handysize,Indonesia,Haldia,26.85
597158,2026-01-03,Panamax,Russia,Visakhapatnam,32.92
11942,2026-01-03,Capesize,Australia,Gangavaram,16.0
469142,2026-01-03,Panamax,Australia,Visakhapatnam,42.54
591062,2026-01-03,Panamax,Russia,Sagar/Sandheads,41.16
853190,2026-01-03,Supramax,USA,Visakhapatnam,38.34
548390,2026-01-03,Panamax,Mozambique,Sagar/Sandheads,41.34
164342,2026-01-03,Capesize,Russia,Sagar/Sandheads,23.39
505718,2026-01-03,Panamax,Indonesia,Sagar/Sandheads,33.22
676406,2026-01-03,Supramax,Australia,Sagar/Sandheads,29.46
658118,2026-01-03,Supramax,Australia,Gopalpur,24.57
353318,2026-01-03,Handysize,Russia,Gangavaram,29.65
700790,2026-01-03,Supramax,Indonesia,Gopalpur,21.62
97287,2026-01-04,Capesize,Mozambique,Gangavaram,18.49
139959,2026-01-04,Capesize,Russia,Gangavaram,19.4
603255,2026-01-04,Panamax,USA,Dhamra,40.29
103383,2026-01-04,Capesize,Mozambique,Gopalpur,23.13
36327,2026-01-04,Capesize,Australia,Sagar/Sandheads,18.0
316743,2026-01-04,Handysize,Mozambique,Gopalpur,22.93
804423,2026-01-04,Supramax,Russia,Sagar/Sandheads,35.02
18039,2026-01-04,Capesize,Australia,Gopalpur,14.5
475239,2026-01-04,Panamax,Indonesia,Dhamra,21.96
505719,2026-01-04,Panamax,Indonesia,Sagar/Sandheads,33.45
786135,2026-01-04,Supramax,Russia,Gopalpur,32.25
450855,2026-01-04,Panamax,Australia,Haldia,39.7
85095,2026-01-04,Capesize,Indonesia,Visakhapatnam,20.8
182631,2026-01-04,Capesize,USA,Gangavaram,18.88
322839,2026-01-04,Handysize,Mozambique,Haldia,21.24
292359,2026-01-04,Handysize,Indonesia,Sagar/Sandheads,27.27
743463,2026-01-04,Supramax,Mozambique,Gopalpur,23.44
377703,2026-01-04,Handysize,Russia,Sagar/Sandheads,39.1
773943,2026-01-04,Supramax,Russia,Dhamra,22.08
408183,2026-01-04,Handysize,USA,Haldia,31.11
816615,2026-01-04,Supramax,USA,Dhamra,38.71
700791,2026-01-04,Supramax,Indonesia,Gopalpur,21.93
548391,2026-01-04,Panamax,Mozambique,Sagar/Sandheads,40.81
755655,2026-01-04,Supramax,Mozambique,Paradip,22.25
310647,2026-01-04,Handysize,Mozambique,Gangavaram,22.66
469143,2026-01-04,Panamax,Australia,Visakhapatnam,42.14
517911,2026-01-04,Panamax,Mozambique,Dhamra,27.45
706887,2026-01-04,Supramax,Indonesia,Haldia,29.05
414279,2026-01-04,Handysize,USA,Paradip,31.8
670311,2026-01-04,Supramax,Australia,Paradip,32.09
207015,2026-01-04,Capesize,USA,Sagar/Sandheads,26.81
347223,2026-01-04,Handysize,Russia,Dhamra,25.37
54615,2026-01-04,Capesize,Indonesia,Gangavaram,14.77
584967,2026-01-04,Panamax,Russia,Paradip,36.48
